"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","451","Проверить код ответа","API. Контрактные АТ","2025-11-06","passed","2025-11-06","","Обновить информацию о сотруднике","API.tests.ContractAT.UpdateEmployeeAT","checkResponseCodeTest"
"","241","Проверить тело ответа","API. Контрактные АТ","2025-11-06","passed","2025-11-06","","Удалить сотрудника по айди","API.tests.ContractAT.DeleteEmployeeAT","checkResponseBodyTest"
"","127","Проверить код ответа","API. Контрактные АТ","2025-11-06","passed","2025-11-06","","Получение списка всех сотрудников","API.tests.ContractAT.GetEmployeesAT","checkResponseCodeTest"
"","355","Проверить тело ответа","API. Контрактные АТ","2025-11-06","passed","2025-11-06","","Создание нового сотрудника","API.tests.ContractAT.CreateEmployeeAT","checkResponseBodyTest"
"","375","Проверить код ответа","API. Контрактные АТ","2025-11-06","passed","2025-11-06","","Удалить сотрудника по айди","API.tests.ContractAT.DeleteEmployeeAT","checkResponseCodeTest"
"Неуспешная авторизация как пользователь = locked_out_user","1341","Авторизация заблокированного пользователя","UI. Login АТ","2025-11-06","passed","2025-11-06","","Тесты секьюрити матрицы","UI.saucedemo.tests.Login_AT","unsuccessfulAuthorization"
"Описание: Обновить сотрудника частично","877","Обновить сотрудника частично","API. Бизнес АТ","2025-11-06","passed","2025-11-06","","Обновить информацию о сотруднике","API.tests.BusinessAT.UpdateEmployeeBAT","updateEmployeePartially"
"","7","Создать сотрудника без city","API. Контрактные АТ","2025-11-06","skipped","2025-11-06","","Создание нового сотрудника","API.tests.ContractAT.CreateEmployeeAT","createEmployeeWithoutCityTest"
"","138","Создать сотрудника без surname и position","API. Контрактные АТ","2025-11-06","passed","2025-11-06","","Создание нового сотрудника","API.tests.ContractAT.CreateEmployeeAT","createEmployeeWithoutSurnamePositionTest"
"","564","Обновить только Имя","API. Контрактные АТ","2025-11-06","passed","2025-11-06","","Обновить информацию о сотруднике","API.tests.ContractAT.UpdateEmployeeAT","updateNameTest"
"","563","Обновить только Позицию","API. Контрактные АТ","2025-11-06","passed","2025-11-06","","Обновить информацию о сотруднике","API.tests.ContractAT.UpdateEmployeeAT","updatePositionTest"
"","492","Проверить код ответа","API. Контрактные АТ","2025-11-06","passed","2025-11-06","","Получить сотрудника по ID","API.tests.ContractAT.GetEmployeeByIDAT","checkResponseCodeTest"
"Описание: Удаление сотрудника","573","Удаление сотрудника","API. Бизнес АТ","2025-11-06","passed","2025-11-06","","Удаление сотрудника","API.tests.BusinessAT.DeleteEmployeeBAT","deleteEmployee"
"","373","Обновить только Фамилию","API. Контрактные АТ","2025-11-06","passed","2025-11-06","","Обновить информацию о сотруднике","API.tests.ContractAT.UpdateEmployeeAT","updateSurnameTest"
"","270","Создать сотрудника без name","API. Контрактные АТ","2025-11-06","passed","2025-11-06","","Создание нового сотрудника","API.tests.ContractAT.CreateEmployeeAT","createEmployeeWithoutNameTest"
"Описание: Обновить сотрудника полностью","473","Обновить сотрудника полностью","API. Бизнес АТ","2025-11-06","passed","2025-11-06","","Обновить информацию о сотруднике","API.tests.BusinessAT.UpdateEmployeeBAT","updateEmployeeCompletely"
"Успешная авторизация как пользователь = standard_user","1254","Успешная авторизация","UI. Login АТ","2025-11-06","passed","2025-11-06","","Тесты секьюрити матрицы","UI.saucedemo.tests.Login_AT","successfulAuthorization"
"","368","Проверить тело ответа","API. Контрактные АТ","2025-11-06","passed","2025-11-06","","Получить сотрудника по имени","API.tests.ContractAT.GetEmployeeByNameAT","checkResponseBodyTest"
"Пользователь входит в систему как 'standard_user'. 
Добавляет несколько товаров в корзину и оформляет заказ.","24838","Добавление товаров в корзину и оформление заказа","UI. E2E АТ","2025-11-06","passed","2025-11-06","","E2E кейсы","UI.saucedemo.tests.E2E_AT","E2E_001_PlaceOrder"
"Описание: Получение списка всех сотрудников","1191","Получение списка всех сотрудников","API. Бизнес АТ","2025-11-06","passed","2025-11-06","","Создание нового сотрудника","API.tests.BusinessAT.GetEmployeesBAT","getEmployees"
"","514","Проверить код ответа","API. Контрактные АТ","2025-11-06","passed","2025-11-06","","Получить сотрудника по имени","API.tests.ContractAT.GetEmployeeByNameAT","checkResponseCodeTest"
"","438","Проверить код ответа","API. Контрактные АТ","2025-11-06","passed","2025-11-06","","Создание нового сотрудника","API.tests.ContractAT.CreateEmployeeAT","checkResponseCodeTest"
"","453","Ошибка валидации данных","API. Контрактные АТ","2025-11-06","passed","2025-11-06","","Обновить информацию о сотруднике","API.tests.ContractAT.UpdateEmployeeAT","validationErrorTest"
"","454","Проверить тело ответа","API. Контрактные АТ","2025-11-06","passed","2025-11-06","","Получить сотрудника по ID","API.tests.ContractAT.GetEmployeeByIDAT","checkResponseBodyTest"
"","349","Проверить тело ответа","API. Контрактные АТ","2025-11-06","passed","2025-11-06","","Обновить информацию о сотруднике","API.tests.ContractAT.UpdateEmployeeAT","checkResponseBodyTest"
"Описание: Получить сотрудника по ID","554","Получить сотрудника по ID","API. Бизнес АТ","2025-11-06","passed","2025-11-06","","Получить сотрудника по ID","API.tests.BusinessAT.GetEmployeeByIDBAT","getEmployeeByID"
"Описание: Создание нового сотрудника","3851","Создание нового сотрудника","API. Бизнес АТ","2025-11-06","passed","2025-11-06","","Создание нового сотрудника","API.tests.BusinessAT.CreateEmployeeBAT","createEmployee"
"Описание: Получить сотрудника по имени","613","Получить сотрудника по имени","API. Бизнес АТ","2025-11-06","passed","2025-11-06","","Получить сотрудника по имени","API.tests.BusinessAT.GetEmployeeByNameBAT","getEmployeeByName"
"","180","Найти сотрудника с несуществующим именем","API. Контрактные АТ","2025-11-06","passed","2025-11-06","","Получить сотрудника по имени","API.tests.ContractAT.GetEmployeeByNameAT","getEmployeeWithNonExistenceNameTest"
"","270","Найти сотрудника с несуществующим ID","API. Контрактные АТ","2025-11-06","passed","2025-11-06","","Получить сотрудника по ID","API.tests.ContractAT.GetEmployeeByIDAT","getEmployeeWithNonExistenceNameTest"
"","277","Обновление несуществующего сотрудника","API. Контрактные АТ","2025-11-06","passed","2025-11-06","","Обновить информацию о сотруднике","API.tests.ContractAT.UpdateEmployeeAT","updateNonExistenceEmployeeTest"
"","361","Обновить только Город","API. Контрактные АТ","2025-11-06","passed","2025-11-06","","Обновить информацию о сотруднике","API.tests.ContractAT.UpdateEmployeeAT","updateCityTest"
"","2","Удалить несуществующего сотрудника","API. Контрактные АТ","2025-11-06","skipped","2025-11-06","","Удалить сотрудника по айди","API.tests.ContractAT.DeleteEmployeeAT","deleteNonExistentEmployeeTest"
